index,comment,sentiment scores,date
1,"Take out EPF savings, and buy gold 🫰🏽🫰🏽",neutral,2025-08-01 00:04:04+00:00
2,"Personally I will choose monthly payout like salary after I retired. Will need the dividend and compound interest, rather than full withdrawal..... I feel safer. .. 

I don't have much confidence on those private retirement scheme I have no trust on unit trust , public mutual , private investment scheme etc....As there are too many scammers nowadays. Not to mention in the near or far future",neutral,2025-07-31 15:52:04+00:00
3,"So many angry comments . Please read - addition to current. Retiree will be given choice. KWSP need to explain to the retiree if they want to take out lump sum. So retiree need to be advice the choice. I am a retiree. When I want to take out all my epf, the officer advised me about taken some out to settle my loans & and the rest by monthly so that I can earned high interest. A very clear explanation. So I decided to follow their advice. I settle my loans, receive monthly money from epf & earned 6.2% interest ( better than keep in banks ) .",neutral,2025-07-31 13:40:13+00:00
4,Keep it optional. Let those who know how to use their savings do the job and let those who cannot choose their path,neutral,2025-07-31 23:40:19+00:00
5,"Isn’t this scheme already existed for long?
Currently a retiree can go to EPF office to setup a withdrawal scheme, eg. monthly RM3k for the next 12 mths.",neutral,2025-07-31 15:27:51+00:00
6,Applaud this good policy similar to CPF monthly payout so retirees chances kena scam wipeout minimise and their children targeting parents lump sum retirement fund can wait long long till their parents gone baru dapat. Retirees can apply to full settle their mortgages based on their epf balance accounts,positive,2025-07-31 13:08:05+00:00
7,The retirees money belongs to them and no one has the rights to teach them how to use it. Some needs to pay off their housing loan balances upon retirement. Plse do not simply impose laws that others may not agree.,negative,2025-07-31 13:16:45+00:00
8,"But retirees will still have a choice to withdraw everything & yolo, right?",neutral,2025-07-31 13:47:10+00:00
9,"Better dun propose then suggestion, many retirees have only withdrawn their dividends on the yearly basis. But the word considering has attracted many questions and worries !!",neutral,2025-08-01 09:36:12+00:00
10,"It sound good but there must be given other options  especially for those who having intention to withdraw large sum for reasonable purposes. On monthly withdrawl, what guarantees that epf gives that there no extra conditions in the long run? New government surely will have new ideas, changes that may effect contributes. How about during the monthly withdrawal scheme the person passedaway? Does the scheme act like pension or otherwise?",neutral,2025-07-31 23:10:47+00:00
11,Wee Low they dont like to read. they love to comments,neutral,2025-07-31 13:54:59+00:00
12,"Wee Low I don't understand. Since now we already have a choice to withdraw all or monthly. Why does the government highlight  this ? Why I read is account 55 split into 2 accounts one can withdraw all, and one only takes monthly. We don't have a choice like your current one",neutral,2025-07-31 14:05:23+00:00
13,"Zam Aziz Not don’t like to read . They read. But they don’t want to understand it. Just want to hentam & think -ve eg gomen no money . Want to take our money in epf, it’s our money, why gomen want to control what belongs to us . It is our money etc.",negative,2025-07-31 14:21:46+00:00
14,"Isaac Tsen where got mentioned acc 55 split into 2 ? It just mentioned retirement split into 2 - an addition. Maybe it is acc emas when you reach retirement. Wait for more detail lah . Don’t kan cheong.  Even if they said like a pension where retirees get monthly amounts from EPF , it is not a bad idea.",neutral,2025-07-31 14:25:09+00:00
15,Wee Low I read both Chinese and English alao. Maybe o got it wrong. But Chinese newspaper and goole news also said split out money into 2 account. You try Google the news and see. I also want to clarify. Coz this decide if continue vote the current government or opposition party,neutral,2025-07-31 14:29:19+00:00
16,"Wee Low For my case on Malaysia , I need the money to support my children university . If they only withdraw portion, not all, it  will affect me a lot .",negative,2025-07-31 14:34:17+00:00
17,Isaac Tsen wait for more details. I think you can take out money from epf for children education now. Go & apply lah.,neutral,2025-07-31 14:41:52+00:00
18,"Wee Low Hi, you mean it is OK if we take the full amount? It is not mandatory, right?",neutral,2025-07-31 15:12:47+00:00
