index,comment,sentiment scores,date
1,"Take out EPF savings, and buy gold 🫰🏽🫰🏽","sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, where retirees may have the option to receive monthly pension payments in addition to the existing lump-sum withdrawal method. the move is aimed at helping retirees manage their savings more wisely and secure long-term income after they stop working. while the proposal is still under review, it is presented as a potential improvement to the current epf system. overall, the tone of the article is neutral, providing information about the possible change without expressing a clear opinion or bias.",2025-08-01 00:04:04+00:00
2,"Personally I will choose monthly payout like salary after I retired. Will need the dividend and compound interest, rather than full withdrawal..... I feel safer. .. 

I don't have much confidence on those private retirement scheme I have no trust on unit trust , public mutual , private investment scheme etc....As there are too many scammers nowadays. Not to mention in the near or far future","sentiment: neutral

explanation: the author of the article seems to have mixed feelings about the proposed change to the employees provident fund (epf) system in malaysia. on one hand, they acknowledge that the current system allows for full withdrawal at age 55, which can provide financial freedom for retirees. however, they also express concerns about the potential risks of scams and the need for retirees to manage their savings wisely. the author does not express a clear opinion on the proposed change, but rather presents both sides of the issue. therefore, the sentiment of the article is neutral.",2025-07-31 15:52:04+00:00
3,"So many angry comments . Please read - addition to current. Retiree will be given choice. KWSP need to explain to the retiree if they want to take out lump sum. So retiree need to be advice the choice. I am a retiree. When I want to take out all my epf, the officer advised me about taken some out to settle my loans & and the rest by monthly so that I can earned high interest. A very clear explanation. So I decided to follow their advice. I settle my loans, receive monthly money from epf & earned 6.2% interest ( better than keep in banks ) .","sentiment: positive

explanation: the article discusses a potential change to the employees provident fund (epf) that would allow retirees to receive monthly pension payments in addition to the existing lump-sum option. this move is aimed at helping retirees manage their savings more wisely and secure long-term income after they stop working. the article highlights the potential benefits of this proposal, including the ability for retirees to withdraw part of their savings while still receiving monthly support from the pension portion. overall, the tone of the article is positive and suggests that the proposed changes could be beneficial for retirees.",2025-07-31 13:40:13+00:00
4,Keep it optional. Let those who know how to use their savings do the job and let those who cannot choose their path,"sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, which would allow retirees to receive monthly pension payments in addition to the existing lump-sum withdrawal option. the move is aimed at helping retirees manage their savings more wisely and secure long-term income after they stop working. while the proposal is still under review, it is presented as a potential solution to help retirees better manage their finances in retirement. overall, the tone of the article is neutral, providing information about the proposed change without expressing a clear opinion or bias.",2025-07-31 23:40:19+00:00
5,"Isn’t this scheme already existed for long?
Currently a retiree can go to EPF office to setup a withdrawal scheme, eg. monthly RM3k for the next 12 mths.","sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) system in malaysia, where retirees may have the option to receive monthly pension payments in addition to the existing lump-sum withdrawal method. the proposal is aimed at helping retirees manage their savings more wisely and secure long-term income after they stop working. while the article provides some details about the potential changes, it does not express a clear opinion or emotion about the matter. therefore, the sentiment of the text is neutral.",2025-07-31 15:27:51+00:00
6,Applaud this good policy similar to CPF monthly payout so retirees chances kena scam wipeout minimise and their children targeting parents lump sum retirement fund can wait long long till their parents gone baru dapat. Retirees can apply to full settle their mortgages based on their epf balance accounts,"sentiment: positive

explanation: the article discusses a potential change to the employees provident fund (epf) that would allow retirees to receive monthly pension payments in addition to the existing lump-sum option. this move is aimed at helping retirees manage their savings more wisely and secure long-term income after they stop working. the proposal involves dividing epf contributions into two parts - one for a retirement lump sum and another for monthly pension payments. this setup would let retirees withdraw part of their savings while still receiving monthly support from the pension portion. the article highlights that the government is considering this change to help retirees better manage their savings and secure their long-term financial stability. overall, the sentiment of the article is positive as it discusses a potential solution to help retirees manage their finances more effectively.",2025-07-31 13:08:05+00:00
7,The retirees money belongs to them and no one has the rights to teach them how to use it. Some needs to pay off their housing loan balances upon retirement. Plse do not simply impose laws that others may not agree.,"sentiment: neutral

explanation: the article discusses a proposed change to the employees provident fund (epf) that would allow retirees to receive monthly pension payments in addition to the existing lump-sum withdrawal option. the move is aimed at helping retirees manage their savings more wisely and secure long-term income after they stop working. while some may view this as a positive development, others may be neutral or have mixed feelings about it, as it could potentially limit their freedom to withdraw their savings as they see fit. therefore, the sentiment of the article is neutral.",2025-07-31 13:16:45+00:00
8,"But retirees will still have a choice to withdraw everything & yolo, right?","sentiment: neutral

explanation: the article discusses a potential change to the employees provident fund (epf) in malaysia, where retirees may have the option to receive monthly pension payments in addition to the existing lump-sum withdrawal method. the proposed change aims to help retirees manage their savings more wisely and secure long-term income after they stop working. while the article does not express a clear opinion on the matter, it provides information about the potential benefits of the proposed change and the current epf withdrawal rules. therefore, the sentiment of the text is neutral.",2025-07-31 13:47:10+00:00
9,"Better dun propose then suggestion, many retirees have only withdrawn their dividends on the yearly basis. But the word considering has attracted many questions and worries !!","sentiment: neutral

explanation: the article discusses a proposed change to the employees provident fund (epf) in malaysia, which would allow retirees to receive monthly pension payments in addition to the existing lump-sum withdrawal option. the move is aimed at helping retirees manage their savings more wisely and secure long-term income after they stop working. while some may view this as a positive development, others may be neutral or have mixed feelings about it, as it could potentially limit their freedom to withdraw their savings as they see fit. therefore, the sentiment of the article is considered neutral.",2025-08-01 09:36:12+00:00
10,"It sound good but there must be given other options  especially for those who having intention to withdraw large sum for reasonable purposes. On monthly withdrawl, what guarantees that epf gives that there no extra conditions in the long run? New government surely will have new ideas, changes that may effect contributes. How about during the monthly withdrawal scheme the person passedaway? Does the scheme act like pension or otherwise?","sentiment: neutral

explanation: the article discusses the potential changes to the employees provident fund (epf) withdrawal rules in malaysia. the government is considering introducing a monthly pension payout in addition to the existing lump-sum option to help retirees manage their savings more wisely and secure long-term income. while this move may be beneficial for some retirees, it is important to note that there may be additional conditions or requirements for monthly withdrawals, especially for those who intend to withdraw large sums for reasonable purposes. additionally, the article highlights the strong returns of the epf in 2024, which could be a positive aspect of the fund. however, without more information on the potential changes and their long-term implications, it is difficult to have a definitive sentiment about the proposed changes.",2025-07-31 23:10:47+00:00
